# Neutron scattering lengths: http://www.ncnr.nist.gov/resources/n-lengths/
# X-ray Form factor: ITC, p578
# Magnetic Form Factor: https://www.ill.eu/sites/ccsl/ffacts/ffactnode4.html
# Element weights and radii: http://en.wikipedia.org/wiki/List_of_elements_by_atomic_properties
# X-ray edges: From http://xdb.lbl.gov/Section1/Table_1-1.pdf
  Z Element Name           Coh_b    Inc_b      Nabs     Nscat    a1         b1         a2         b2         a3         b3         a4         b4         c          j0_A     j0_a     j0_B     j0_b     j0_C     j0_c     j0_D     Radii ValenceE Weight      K       L1      L2      L3      M1      M2      M3      M4      M5      N1      N2      N3
  1 H       Hydrogen      -3.7390      nan     0.3326  82.0200   0.489918  20.659300   0.262003   7.740390   0.196767  49.551900   0.049879   2.201590   0.001305   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  25.000       1   1.007940   0.014   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  2 He      Helium         3.2600      nan     0.0075   1.3400   0.873400   9.103700   0.630900   3.356800   0.311200  22.927600   0.178000   0.982100   0.006400   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  31.000       2   4.002602   0.025   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  3 Li      Lithium       -1.9000      nan    70.5000   1.3700   1.128200   3.954600   0.750800   1.052400   0.617500  85.390500   0.465300 168.261000   0.037700   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 145.000       1   6.941000   0.055   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  4 Be      Beryllium      7.7900   0.1200     0.0076   7.6300   1.591900  43.642700   1.127800   1.862300   0.539100 103.483000   0.702900   0.542000   0.038500   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 105.000       2   9.012182   0.112   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  5 B       Boron          5.3000      nan   767.0000   5.2400   2.054500  23.218500   1.332600   1.021000   1.097900  60.349800   0.706800   0.140300  -0.193200   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  85.000       3  10.811000   0.188   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  6 C       Carbon         6.6460      nan     0.0035   5.5510   2.310000  20.843900   1.020000  10.207500   1.588600   0.568700   0.865000  51.651200   0.215600   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  70.000       4  12.010700   0.284   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  7 N       Nitrogen       9.3600      nan     1.9000  11.5100  12.212600   0.005700   3.132200   9.893300   2.012500  28.997500   1.166300   0.582600 -11.529000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  65.000       5  14.006700   0.410   0.037   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  8 O       Oxygen         5.8030      nan     0.0002   4.2320   3.048500  13.277100   2.286800   5.701100   1.546300   0.323900   0.867000  32.908900   0.250800   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  60.000       6  15.999400   0.543   0.042   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
  9 F       Fluorine       5.6540  -0.0820     0.0096   4.0180   3.539200  10.282500   2.641200   4.294400   1.517000   0.261500   1.024300  26.147600   0.277600   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  50.000       7  18.998403   0.697   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 10 Ne      Neon           4.5660      nan     0.0390   2.6280   3.955300   8.404200   3.112500   3.426200   1.454600   0.230600   1.125100  21.718400   0.351500   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  38.000       8  20.100970   0.870   0.049   0.022   0.022   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
