# Neutron scattering lengths, from https://github.com/pkienzle/periodictable
# isotope, real_scattering_length, imaginary_scattering_length
n, -37.0, 0.0
1-n, -37.0, 0.0
H, -3.7409, -9.24916573971079e-05
1-H, -3.7423, -9.24916573971079e-05
D, 6.674, -1.4432703003337042e-07
2-H, 6.674, -1.4432703003337042e-07
T, 4.792, -1.6685205784204672e-09
3-H, 4.792, -1.6685205784204672e-09
He, 3.26, -2.0773081201334816e-06
3-He, 5.74, -1.4830367074527253
4-He, 3.26, 0.0
Li, -1.9, -0.01960511679644049
6-Li, 2.0, -0.26140155728587317
7-Li, -2.22, -1.2625139043381537e-05
Be, 7.79, -2.1134593993325917e-06
9-Be, 7.79, -2.1134593993325917e-06
B, 5.3, -0.21329254727474972
10-B, -0.2, -1.0664627363737487
11-B, 6.65, -1.529477196885428e-06
C, 6.6484, -9.733036707452726e-07
12-C, 6.6535, -9.816462736373748e-07
13-C, 6.19, -3.8097886540600663e-07
N, 9.36, -0.0005283648498331479
14-N, 9.37, -0.0005311457174638487
15-N, 6.44, -6.674082313681869e-09
O, 5.805, -5.28364849833148e-08
16-O, 5.805, -2.7808676307007787e-08
17-O, 5.6, -6.562847608453837e-05
18-O, 5.84, -4.449388209121246e-08
F, 5.654, -2.6696329254727474e-06
19-F, 5.654, -2.6696329254727474e-06
Ne, 4.566, -1.0845383759733037e-05
20-Ne, 4.631, -1.0011123470522802e-05
21-Ne, 6.66, -0.00018631813125695218
22-Ne, 3.87, -1.2791991101223582e-05
Na, 3.63, -0.00014738598442714127
23-Na, 3.63, -0.00014738598442714127
Mg, 5.375, -1.7519466073414904e-05
24-Mg, 5.49, -1.3904338153503894e-05
25-Mg, 3.62, -5.283648498331479e-05
26-Mg, 4.89, -1.0622914349276975e-05
Al, 3.449, -6.423804226918799e-05
27-Al, 3.449, -6.423804226918799e-05
Si, 4.15071, -4.755283648498332e-05
28-Si, 4.106, -4.922135706340378e-05
29-Si, 4.7, -2.8086763070077867e-05
30-Si, 4.58, -2.975528364849833e-05
P, 5.13, -4.783092324805339e-05
31-P, 5.13, -4.783092324805339e-05
S, 2.847, -0.00014738598442714127
32-S, 2.804, -0.00015016685205784206
33-S, 4.74, -0.00015016685205784206
34-S, 3.48, -6.312569521690767e-05
36-S, 3.0, -4.171301446051168e-05
Cl, 9.5792, -0.009315906562847608
35-Cl, 11.7, -0.012263626251390434
37-Cl, 3.08, -0.00012041156840934372
Ar, 1.909, -0.00018770856507230256
36-Ar, 24.9, -0.001446051167964405
38-Ar, 3.5, -0.0002224694104560623
40-Ar, 1.7, -0.0001835372636262514
K, 3.67, -0.0005839822024471636
39-K, 3.79, -0.0005839822024471636
40-K, 3.1, -0.009733036707452725
41-K, 2.69, -0.00040600667408231366
Ca, 4.7, -0.00011957730812013348
40-Ca, 4.78, -0.00011401557285873191
42-Ca, 3.36, -0.00018909899888765297
43-Ca, -1.56, -0.0017241379310344827
44-Ca, 1.42, -0.0002447163515016685
46-Ca, 3.55, -0.00020578420467185762
48-Ca, 0.39, -0.0003031145717463849
Sc, 12.1, -0.007647385984427141
45-Sc, 12.1, -0.007647385984427141
Ti, -3.37, -0.0016935483870967741
